Symbol,Price,Change,Direction,Date,Time,Market_Status,Market_Update_Time
AIRTEL,127.94,0.02,up,2025-06-04,16:11:44,Post-Close,04/06/25 16:10pm
BHL,14.55,-0.01,down,2025-06-04,16:11:44,Post-Close,04/06/25 16:10pm
FDHB,313.46,-0.05,down,2025-06-04,16:11:44,Post-Close,04/06/25 16:10pm
FMBCH,904.42,0.0,no change,2025-06-04,16:11:44,Post-Close,04/06/25 16:10pm
ICON,17.95,0.0,no change,2025-06-04,16:11:44,Post-Close,04/06/25 16:10pm
ILLOVO,1791.37,-0.01,down,2025-06-04,16:11:44,Post-Close,04/06/25 16:10pm
MPICO,19.0,0.0,no change,2025-06-04,16:11:44,Post-Close,04/06/25 16:10pm
NBM,6200.19,0.02,up,2025-06-04,16:11:44,Post-Close,04/06/25 16:10pm
NBS,355.09,0.08,up,2025-06-04,16:11:44,Post-Close,04/06/25 16:10pm
NICO,776.39,0.0,no change,2025-06-04,16:11:44,Post-Close,04/06/25 16:10pm
NITL,715.22,0.0,no change,2025-06-04,16:11:44,Post-Close,04/06/25 16:10pm
OMU,2500.03,0.0,no change,2025-06-04,16:11:44,Post-Close,04/06/25 16:10pm
PCL,3999.97,0.0,no change,2025-06-04,16:11:44,Post-Close,04/06/25 16:10pm
STANDARD,9510.01,0.0,no change,2025-06-04,16:11:44,Post-Close,04/06/25 16:10pm
SUNBIRD,350.01,0.0,no change,2025-06-04,16:11:44,Post-Close,04/06/25 16:10pm
TNM,22.99,0.01,up,2025-06-04,16:11:44,Post-Close,04/06/25 16:10pm
